fecha,region,estacion,variable,valor
1967-01-25,Lima,Santa Rosa,prec_acum,2
1967-01-26,Lima,Santa Rosa,prec_acum,0
1967-01-27,Lima,Santa Rosa,prec_acum,0
1967-01-28,Lima,Santa Rosa,prec_acum,0
1967-01-29,Lima,Santa Rosa,prec_acum,0.5
1967-01-30,Lima,Santa Rosa,prec_acum,0
1967-01-31,Lima,Santa Rosa,prec_acum,0.1
1967-02-01,Lima,Santa Rosa,prec_acum,0.8
1967-02-02,Lima,Santa Rosa,prec_acum,0
1967-02-03,Lima,Santa Rosa,prec_acum,0
1967-02-04,Lima,Santa Rosa,prec_acum,0
1967-02-05,Lima,Santa Rosa,prec_acum,0
1967-02-06,Lima,Santa Rosa,prec_acum,0
1967-02-07,Lima,Santa Rosa,prec_acum,2
1967-02-08,Lima,Santa Rosa,prec_acum,3
1967-02-09,Lima,Santa Rosa,prec_acum,0
1967-02-10,Lima,Santa Rosa,prec_acum,0
1967-02-11,Lima,Santa Rosa,prec_acum,0
1967-02-12,Lima,Santa Rosa,prec_acum,0
1967-02-13,Lima,Santa Rosa,prec_acum,0
1967-02-14,Lima,Santa Rosa,prec_acum,0
1967-02-15,Lima,Santa Rosa,prec_acum,0
1967-02-16,Lima,Santa Rosa,prec_acum,0
1967-02-17,Lima,Santa Rosa,prec_acum,0
1967-02-18,Lima,Santa Rosa,prec_acum,0
1967-02-19,Lima,Santa Rosa,prec_acum,0
1967-02-20,Lima,Santa Rosa,prec_acum,0
1967-02-21,Lima,Santa Rosa,prec_acum,0
1967-02-22,Lima,Santa Rosa,prec_acum,0
1967-02-23,Lima,Santa Rosa,prec_acum,0.7
1967-02-24,Lima,Santa Rosa,prec_acum,0
1967-02-25,Lima,Santa Rosa,prec_acum,0
1967-02-26,Lima,Santa Rosa,prec_acum,0
1967-02-27,Lima,Santa Rosa,prec_acum,0
1967-02-28,Lima,Santa Rosa,prec_acum,0
1967-03-01,Lima,Santa Rosa,prec_acum,0
1967-03-02,Lima,Santa Rosa,prec_acum,0
1967-03-03,Lima,Santa Rosa,prec_acum,0
1967-03-04,Lima,Santa Rosa,prec_acum,0
1967-03-05,Lima,Santa Rosa,prec_acum,0
1967-03-06,Lima,Santa Rosa,prec_acum,0
1967-03-07,Lima,Santa Rosa,prec_acum,0
1967-03-08,Lima,Santa Rosa,prec_acum,0
1967-03-09,Lima,Santa Rosa,prec_acum,0
1967-03-10,Lima,Santa Rosa,prec_acum,0
1967-03-11,Lima,Santa Rosa,prec_acum,0
1967-03-12,Lima,Santa Rosa,prec_acum,0
1967-03-13,Lima,Santa Rosa,prec_acum,0
1967-03-14,Lima,Santa Rosa,prec_acum,0
1967-03-15,Lima,Santa Rosa,prec_acum,0
1967-03-16,Lima,Santa Rosa,prec_acum,0
1967-03-17,Lima,Santa Rosa,prec_acum,0
1967-03-18,Lima,Santa Rosa,prec_acum,1.3
1967-03-19,Lima,Santa Rosa,prec_acum,0
1967-03-20,Lima,Santa Rosa,prec_acum,0
1967-03-21,Lima,Santa Rosa,prec_acum,0
1967-03-22,Lima,Santa Rosa,prec_acum,0
1967-03-23,Lima,Santa Rosa,prec_acum,0
1967-03-24,Lima,Santa Rosa,prec_acum,0
1967-03-25,Lima,Santa Rosa,prec_acum,0
1967-03-26,Lima,Santa Rosa,prec_acum,0
1967-03-27,Lima,Santa Rosa,prec_acum,0.2
1967-03-28,Lima,Santa Rosa,prec_acum,0
1967-03-29,Lima,Santa Rosa,prec_acum,0
1967-03-30,Lima,Santa Rosa,prec_acum,0
1967-03-31,Lima,Santa Rosa,prec_acum,0
1967-04-01,Lima,Santa Rosa,prec_acum,0
1967-04-02,Lima,Santa Rosa,prec_acum,0
